Row_ID,Order_ID,Order_Date,Segment,Region,Product_Name,Sales,Profit,Category,Sub-Category
1,CA-2026-369326,12/06/2025,Home Office,East,"JHK Ergonomic Mesh Office Chair Adjustable Headrest Flip-Up Arms Lumbar
Opens in a new window or tab",69.99,11.35,Furniture,Chairs
2,CA-2026-426764,22/04/2025,Consumer,East,"Executive Office Ergonomic Chair, Computer Chair with Adjustable Headrest,PU...
Opens in a new window or tab",120.0,25.43,Furniture,Chairs
3,CA-2026-712456,22/11/2025,Corporate,South,"Ergonomic Mesh Office Chair Adjustable Headrest Flip-Up Arms Lumbar Support Gray
Opens in a new window or tab",79.99,11.16,Furniture,Chairs
4,CA-2026-865155,30/06/2025,Home Office,Central,"Marsail Ergonomic Office Desk Chair with High Back Mesh and Adjustable
Opens in a new window or tab",99.0,16.02,Furniture,Chairs
5,CA-2026-415286,19/02/2026,Consumer,South,"Sleekform Kneeling Chair Ergonomic Office Desk Stool Wooden Frame Only
Opens in a new window or tab",65.09,10.02,Furniture,Chairs
6,CA-2026-572189,30/09/2025,Consumer,East,"Adjustable Ergonomic Office Chair Headrest Attachment Memory Foam Pillow for ...
Opens in a new window or tab",65.27,11.02,Furniture,Chairs
7,CA-2026-814684,23/10/2025,Consumer,South,"Ergonomic Office Chair Cheap Desk Chair PC Gaming Chair Rolling PU Leather Sw...
Opens in a new window or tab",112.28,22.07,Furniture,Chairs
10,CA-2026-942915,12/07/2025,Corporate,West,"Modern Ergonomic Mesh Office Chair with Adjustable Height & Swivel - Green
Opens in a new window or tab",65.99,14.04,Furniture,Chairs
11,CA-2026-664477,23/01/2026,Consumer,Central,"JHK Ergonomic Mesh Office Chair Flip Arms Headrest Lumbar Support
Opens in a new window or tab",170.47,25.31,Furniture,Chairs
12,CA-2026-267659,30/11/2025,Corporate,East,"JHK Mesh Ergonomic Office Computer Desk Chair Flip-up Arms Adjustable Headrests
Opens in a new window or tab",79.99,15.3,Furniture,Chairs
14,CA-2026-942412,22/06/2025,Consumer,Central,"Ergonomic Mesh Office Chair with Lumbar Support - Adjustable & Swivel Design
Opens in a new window or tab",87.99,18.48,Furniture,Chairs
15,CA-2026-464648,02/08/2025,Consumer,Central,"Ergonomic Mesh Office Chair with Lumbar Support - Adjustable Height & Breathable
Opens in a new window or tab",85.99,15.41,Furniture,Chairs
16,CA-2026-739983,29/11/2025,Home Office,Central,"Home Office Chair Desk Computer Chair Adjustable Ergonomic with Lumbar Support
Opens in a new window or tab",84.99,16.6,Furniture,Chairs
18,CA-2026-373335,24/05/2025,Home Office,East,"Herman Miller Celle Ergonomic Desk Chair Excellent Condition Fast Shipping
Opens in a new window or tab",299.99,65.41,Furniture,Chairs
19,CA-2026-695248,14/06/2025,Corporate,Central,"Modern Ergonomic Executive Office Chair - High Back Cool Desk Seat
Opens in a new window or tab",299.99,43.99,Furniture,Chairs
20,CA-2026-776900,21/12/2025,Consumer,West,"Herman Miller Celle Ergonomic Office Chair Gray Fully loaded Authentic 9.5/10
Opens in a new window or tab",299.99,63.07,Furniture,Chairs
21,CA-2026-390686,03/06/2025,Home Office,South,"Lightweight Ergonomic Swivel Desk Chair - Easy Setup, Ideal for Home & Office
Opens in a new window or tab",70.99,10.69,Furniture,Chairs
24,CA-2026-165503,27/12/2025,Corporate,Central,"Yaheetech Gaming Chair Review: Ergonomic Design with Massage Lumbar Support and
Opens in a new window or tab",129.99,19.55,Furniture,Chairs
25,CA-2026-600784,18/08/2025,Consumer,West,"Ergonomic Coumputer Gaming Chair Office Swivel Recliner Seat w/ Footrest Black
Opens in a new window or tab",93.99,17.31,Furniture,Chairs
27,CA-2026-934297,03/06/2025,Corporate,West,"ERGONOMIC TASK CHAIRS w LUMBAR SUPPORT Adjustable Height, Mesh Back, 4 Colors
Opens in a new window or tab",75.0,15.75,Furniture,Chairs
28,CA-2026-626349,24/04/2025,Corporate,South,"Dual Relief Ergonomic Office Task Chair Patented Technology Therapeutic Support
Opens in a new window or tab",395.0,67.41,Furniture,Chairs
29,CA-2026-243166,08/03/2026,Home Office,South,"Mid-Back Swivel Desk Chair with Breathable Mesh & Rolling Wheels for Comfort
Opens in a new window or tab",85.99,15.36,Furniture,Chairs
30,CA-2026-118542,18/05/2025,Home Office,East,"Rimiking Gaming Chair - Carbon Grey, Brand NEW, Ergonomic. Vibrating Seat Pillow
Opens in a new window or tab",75.19,13.66,Furniture,Chairs
31,CA-2026-474645,19/01/2026,Corporate,Central,"Office Executive Chair Soft Leather Ergonomic Desk Chair Swivel Computer Chair
Opens in a new window or tab",65.0,10.25,Furniture,Chairs
32,CA-2026-700691,01/12/2025,Consumer,West,"Office Chair - Ergonomic Mid Back Mesh Swivel Roll Desk Adjustable Height, GRAY
Opens in a new window or tab",55.0,7.44,Furniture,Chairs
33,CA-2026-724486,21/01/2026,Consumer,East,"Herman Miller Aeron Classic | Size B | Adjustable Ergonomic | 9.5/10 | Worldwide
Opens in a new window or tab",599.99,84.26,Furniture,Chairs
34,CA-2026-207706,24/01/2026,Consumer,South,"Abeeha Office Chair Ergonomic Black Lumbar Desk Mesh Chair, with – Headrest
Opens in a new window or tab",294.99,44.92,Furniture,Chairs
35,CA-2026-272433,02/05/2025,Consumer,East,"Ergonomic Home Office Desk Chair Comfortable Leather Computer Chairs for Bedroom
Opens in a new window or tab",136.99,28.05,Furniture,Chairs
36,CA-2026-125587,31/10/2025,Consumer,South,"Herman Miller Aeron Classic | Size B | Fully Load |Ergonomic | 9.5/10
Opens in a new window or tab",629.1,115.58,Furniture,Chairs
37,CA-2026-965992,21/12/2025,Corporate,East,"Ergonomic Home Office Chair, Leather Computer Gaming Chair with Armrests, Adjust
Opens in a new window or tab",126.79,20.51,Furniture,Chairs
38,CA-2026-112921,27/03/2025,Corporate,West,"Ergonomic Office Chair Desk Chair with Wave High Back Adjustable Lumbar Support
Opens in a new window or tab",204.99,37.68,Furniture,Chairs
39,CA-2026-833284,16/05/2025,Consumer,South,"Large High-Back Office Chair, Ergonomic Home Computer Desk Chair, 360° Swivel
Opens in a new window or tab",189.89,35.45,Furniture,Chairs
40,CA-2026-892264,13/03/2026,Consumer,South,"Ergonomic Office Chair with High Back, Computer Chair with Footrest,Comfy Diamon
Opens in a new window or tab",192.05,41.95,Furniture,Chairs
41,CA-2026-519790,15/08/2025,Corporate,South,"YAHEETECH 592837 MESH OFFICE CHAIR ERGONOMIC TASK W/ ADJUSTABLE LUMBAR SUPPORT
Opens in a new window or tab",62.96,7.99,Furniture,Chairs
42,CA-2026-120412,12/02/2026,Corporate,Central,"Ergonomic Video Gamer Chairs Gaming Computer Chair Gamer Chairs for Adults Ma...
Opens in a new window or tab",217.08,27.25,Furniture,Chairs
43,CA-2026-305769,06/07/2025,Home Office,South,"Custom Upholstered Office Chair w/ Adjustable Arms & Chrome Base – Ergonomic
Opens in a new window or tab",199.99,24.81,Furniture,Chairs
44,CA-2026-582979,13/07/2025,Consumer,South,"Herman Miller Celle Ergonomic Desk Chair Fully Loaded Excellent Condition!
Opens in a new window or tab",299.99,36.12,Furniture,Chairs
45,CA-2026-328339,04/04/2025,Home Office,South,"Lumbar Support Office Chair with Stylish Grey Fabric – Perfect for Gaming & More
Opens in a new window or tab",109.99,23.12,Furniture,Chairs
46,CA-2026-101130,04/04/2025,Consumer,South,"JHK Ergonomic Office Computer Home Gaming Desk Chair Adjustable
Opens in a new window or tab",85.99,15.93,Furniture,Chairs
47,CA-2026-282750,12/05/2025,Home Office,Central,"Ergonomic Cross Legged Office Chair with Flip-Up Arms & Adjustable Height
Opens in a new window or tab",221.89,40.8,Furniture,Chairs
48,CA-2026-644158,25/05/2025,Corporate,East,"Ergonomic Gaming Chair with Footrest Recliner Racing Style Office Computer Seat
Opens in a new window or tab",155.99,24.25,Furniture,Chairs
49,CA-2026-705475,05/09/2025,Corporate,South,"naspaluro Ergonomic Office Chair Mid Back Desk Chair with Adjustable Height
Opens in a new window or tab",74.99,10.13,Furniture,Chairs
50,CA-2026-111200,18/03/2026,Consumer,West,"Curble GRAND Extra Wide Sturdy Ergonomic Chair Back Lumbar Support Pain Relief
Opens in a new window or tab",119.0,23.49,Furniture,Chairs
51,CA-2026-675393,13/06/2025,Consumer,West,"HON VL581 High-Back Task Chair Ergonomic Office Computer Desk Chair – New
Opens in a new window or tab",250.0,30.57,Furniture,Chairs
52,CA-2026-589891,26/04/2025,Corporate,West,"Herman Miller Celle Ergonomic Desk Chair Fully Loaded Excellent Condition!
Opens in a new window or tab",299.99,48.08,Furniture,Chairs
56,CA-2026-533846,27/05/2025,Corporate,South,"Mid Back Office Chair Swivel Desk Chair Adjustable Height Black
Opens in a new window or tab",67.9,8.3,Furniture,Chairs
58,CA-2026-722237,15/02/2026,Consumer,West,"NEW Ergonomic Kneeling Wood Office Chair w/Height Adj. Brown Velour Covered Seat
Opens in a new window or tab",65.94,9.46,Furniture,Chairs
59,CA-2026-923203,26/02/2026,Corporate,South,"G-Pack Pro Ergonomic Mesh Office Chair – 4-Level Lumbar Support
Opens in a new window or tab",249.0,36.3,Furniture,Chairs
60,CA-2026-709413,11/10/2025,Consumer,East,"Office Chair Desk Chair Mesh Computer Chair Back Support Modern Executive,3 Pack
Opens in a new window or tab",119.99,23.3,Furniture,Chairs
61,CA-2026-979697,24/03/2025,Home Office,South,"Executive Office Chair – Ergonomic High Back Leather Desk Chair with Padded Flip
Opens in a new window or tab",230.59,48.88,Furniture,Chairs
62,CA-2026-242908,03/03/2026,Consumer,Central,"Ergonomic Kneeling Chair Adjustable Stool Upright Back Postures Home Office
Opens in a new window or tab",80.83,15.8,Furniture,Chairs
63,CA-2026-392475,13/01/2026,Corporate,Central,"Ergonomic Office Chair – Multi-Position Cross Legged Design for Adults
Opens in a new window or tab",151.0,32.32,Furniture,Chairs
64,CA-2026-446028,09/12/2025,Home Office,South,"Ergonomic Kneeling Chair Adjustable Stool Upright Back Postures Home Office
Opens in a new window or tab",82.08,11.16,Furniture,Chairs
67,CA-2026-742046,01/12/2025,Home Office,West,"Ergonomic Office Chair, High Back Mesh Office Chair with 4D Adjustable Flip-U...
Opens in a new window or tab",333.33,67.54,Furniture,Chairs
68,CA-2026-471639,25/04/2025,Corporate,West,"Ergonomic Office Chair High Back Support Adjustable Armrests Rolling Casters New
Opens in a new window or tab",162.49,19.93,Furniture,Chairs
69,CA-2026-788857,24/05/2025,Home Office,West,"Office Swivel Desk Chair Ergonomic Mesh Task Chair with Lumbar Support, Black
Opens in a new window or tab",69.99,10.83,Furniture,Chairs
70,CA-2026-921736,13/08/2025,Home Office,South,"Ergonomic Office Chair Adjustable Lumbar Mesh Back Support 350LB Heavy Duty New
Opens in a new window or tab",195.29,40.86,Furniture,Chairs
71,CA-2026-779266,03/03/2026,Corporate,West,"Ergonomic Office Chair | Lumbar Support, Adjustable Height, Memory Foam Seat
Opens in a new window or tab",165.89,27.0,Furniture,Chairs
